46;0;18210;11;15;2;0;0;4;1;0;0;34;39;0
26;4;13228;11;15;2;3;0;4;1;0;39;93;39;1
27;4;19603;11;15;2;14;0;4;1;0;0;34;39;1
17;4;10449;11;15;0;3;4;4;1;0;0;38;39;0
14;4;18948;11;15;2;14;0;4;1;0;0;34;39;0
38;4;2113;11;15;2;7;0;4;1;0;0;34;39;1
37;6;1949;11;15;2;3;0;4;1;19;0;47;39;1
6;4;16000;11;15;4;1;3;2;0;0;0;34;39;0
33;4;8962;5;10;0;3;1;4;1;0;0;56;39;0
21;4;7267;15;1;2;3;0;4;1;0;0;34;22;0
24;0;2378;11;15;4;0;3;4;0;0;0;34;39;0
28;4;724;11;15;5;3;4;2;0;0;0;34;39;0
21;7;8976;9;4;2;4;5;2;0;0;0;23;39;1
22;4;4193;15;1;2;3;0;4;1;0;0;47;39;1
13;2;12842;15;1;0;1;1;4;0;0;0;34;39;0
26;4;7061;15;1;0;13;1;4;1;0;0;34;0;1
14;4;129;8;2;2;10;5;4;0;0;0;34;39;0
39;4;6485;15;1;2;10;0;4;1;0;0;34;39;1
10;4;17999;11;15;2;3;0;4;1;0;0;34;39;0
40;1;5579;8;2;4;13;1;4;1;0;0;34;39;0
18;4;16217;11;15;0;3;4;4;0;0;0;42;39;0
7;4;15331;7;3;4;3;3;4;1;0;0;34;39;0
45;2;15966;11;15;6;8;1;4;0;0;0;34;2;0
45;4;4777;9;4;4;5;1;4;1;0;0;23;39;0
44;4;16773;11;15;2;12;0;2;1;0;0;34;39;0
19;0;7538;11;15;4;0;4;4;0;0;0;34;39;0
21;4;15232;8;2;2;12;0;4;1;0;0;34;39;1
5;4;15377;11;15;4;3;1;4;1;0;0;45;39;0
36;1;5868;15;1;2;4;5;1;0;0;38;34;30;1
16;0;9140;5;10;5;0;1;4;1;0;0;34;13;0
7;4;4050;11;15;4;3;3;4;1;0;0;34;39;0
47;4;1254;15;1;5;8;1;4;1;0;0;34;39;0
13;4;4497;15;1;4;3;2;4;1;0;0;50;7;0
9;0;2689;9;4;4;0;3;4;1;0;0;38;39;0
23;5;8184;15;1;2;5;0;4;1;0;0;34;39;1
55;2;12940;11;15;2;4;0;4;1;38;0;1;39;0
0;4;9274;1;13;4;12;4;4;1;0;0;6;39;0
27;4;13786;15;1;2;1;5;4;0;0;0;28;39;0
19;4;12295;11;15;2;3;0;4;1;0;0;39;39;0
32;1;1612;11;15;0;1;4;2;0;0;0;34;39;0
19;4;4244;9;4;4;4;3;4;1;0;0;50;39;0
37;1;18394;15;1;0;1;1;4;0;0;0;34;39;0
8;4;12664;9;4;2;10;5;4;0;0;0;34;39;0
7;4;12861;9;4;4;12;1;4;1;0;0;50;23;0
35;7;12644;9;4;2;10;0;4;1;0;0;34;39;0
17;4;16444;9;4;2;13;0;4;1;0;0;34;9;0
9;4;18728;11;15;2;8;5;4;0;0;0;23;39;0
12;4;16748;11;15;2;12;0;4;1;0;0;56;39;0
28;6;10308;14;6;2;10;0;1;1;0;0;45;19;1
23;4;11451;5;10;5;8;1;4;0;0;0;17;39;0
2;5;5056;15;1;4;5;3;4;1;0;0;56;39;0
32;2;8318;15;1;2;6;0;4;1;107;0;34;39;1
27;4;11076;8;2;2;4;0;2;1;0;0;34;39;0
53;4;208;15;1;0;8;1;4;1;0;0;75;39;0
57;0;12775;11;15;6;0;1;4;0;0;0;17;39;0
32;4;15586;11;15;2;4;5;4;0;0;0;37;39;0
2;4;13053;1;13;4;8;2;4;1;0;0;12;39;0
25;4;20464;15;1;2;3;0;4;1;62;0;39;39;1
40;0;14753;4;9;2;0;0;4;1;107;0;78;39;1
12;4;9371;11;15;2;3;0;4;1;0;0;34;39;1
19;2;808;9;4;4;11;1;4;1;0;0;56;39;0
56;2;6838;12;5;2;10;0;4;1;0;0;1;31;1
37;4;20022;12;5;2;12;0;4;1;0;0;50;39;1
18;4;4177;15;1;4;12;1;0;0;0;0;34;39;0
26;2;21338;15;1;2;11;0;4;1;0;38;34;39;1
30;6;6690;15;1;2;13;0;2;1;0;0;34;39;1
1;4;20466;11;15;4;1;3;4;0;0;0;12;39;0
3;2;13492;11;15;4;1;3;4;1;0;0;34;39;0
45;2;6657;6;11;0;11;1;2;1;0;0;16;39;0
5;2;8389;15;1;4;11;2;4;0;0;0;37;39;0
16;4;11182;15;1;4;10;1;4;1;0;0;47;39;0
17;2;11212;7;3;2;10;0;4;1;0;0;56;39;0
23;4;9278;0;12;0;14;3;4;1;0;0;34;39;0
37;6;15152;9;4;2;12;0;4;1;0;0;34;39;0
18;6;7818;9;4;2;5;0;4;1;0;0;39;39;0
17;4;2918;11;15;2;3;2;0;1;0;0;34;39;0
14;4;12845;15;1;0;8;1;4;0;0;0;6;39;0
11;2;9583;7;3;4;3;3;4;1;0;0;44;39;0
22;4;11263;9;4;2;12;0;4;1;0;0;34;2;1
15;6;13867;15;1;2;12;0;0;1;0;0;56;39;0
5;4;15675;15;1;4;12;1;4;1;0;0;36;39;0
42;4;4202;12;5;4;12;1;4;0;53;0;39;39;1
45;0;20203;5;10;6;0;1;2;1;0;0;34;39;0
32;4;1968;11;15;4;1;1;4;0;0;0;38;39;0
5;4;12060;11;15;4;8;4;4;0;0;0;28;39;0
29;4;7192;6;11;2;7;5;4;0;0;0;34;39;0
30;6;4659;15;1;6;8;4;4;0;0;0;28;39;0
44;4;5432;11;15;0;1;1;4;0;0;0;34;2;0
11;4;14733;5;10;2;6;0;4;1;0;0;34;26;0
29;4;16726;7;3;4;1;1;4;1;0;0;34;39;0
3;4;592;11;15;4;7;1;2;1;0;0;34;0;0
20;4;6210;11;15;2;12;0;4;1;0;0;45;39;0
17;6;15564;7;3;4;10;1;4;0;0;0;17;39;0
21;0;2404;0;12;5;0;3;4;1;0;0;28;39;0
17;4;7817;12;5;4;10;1;4;0;0;0;34;39;1
10;4;19574;11;15;2;3;0;4;1;0;0;34;39;0
